asv	AK_0_G1_RepA	AK_0_G1_RepB	AK_0_G1_RepC	AK_0_G2_RepA	AK_0_G2_RepB	AK_0_G2_RepC	AK_1530_G1_RepA	AK_1530_G1_RepB	AK_1530_G1_RepC	AK_1530_G2_RepA	AK_1530_G2_RepB	AK_1530_G2_RepC	AK_630_G1_RepA	AK_630_G1_RepB	AK_630_G1_RepC	AK_630_G2_RepA	AK_630_G2_RepB	AK_630_G2_RepC	BJ_0_G1_RepA	BJ_0_G1_RepB	BJ_0_G1_RepC	BJ_0_G2_RepA	BJ_0_G2_RepB	BJ_0_G2_RepC	BJ_100_G1_RepA	BJ_100_G1_RepB	BJ_100_G1_RepC	BJ_100_G2_RepA	BJ_100_G2_RepB	BJ_100_G2_RepC	BJ_280_G1_RepA	BJ_280_G1_RepB	BJ_280_G1_RepC	BJ_280_G2_RepA	BJ_280_G2_RepB	BJ_280_G2_RepC	BJ_38_G1_RepA	BJ_38_G1_RepB	BJ_38_G2_RepA	BJ_38_G2_RepB	BJ_38_G2_RepC	BV_0_G1_RepA	BV_0_G1_RepB	BV_0_G1_RepC	BV_0_G2_RepA	BV_0_G2_RepB	BV_0_G2_RepC	BV_1110_G1_RepA	BV_1110_G1_RepB	BV_1110_G1_RepC	BV_1110_G2_RepA	BV_1110_G2_RepB	BV_1110_G2_RepC	BV_150_G1_RepA	BV_150_G1_RepB	BV_150_G1_RepC	BV_150_G2_RepA	BV_150_G2_RepB	BV_150_G2_RepC	BV_430_G1_RepA	BV_430_G1_RepB	BV_430_G1_RepC	BV_430_G2_RepA	BV_430_G2_RepB	BV_430_G2_RepC	BV_75_G1_RepA	BV_75_G1_RepB	BV_75_G1_RepC	BV_75_G2_RepA	BV_75_G2_RepB	BV_75_G2_RepC	NK_0_G1_RepA	NK_0_G1_RepB	NK_0_G1_RepC	NK_0_G2_RepA	NK_0_G2_RepB	NK_1330_G1_RepA	NK_1330_G1_RepB	NK_1330_G1_RepC	NK_1330_G2_RepA	NK_1330_G2_RepB	NK_1330_G2_RepC	NK_140_G1_RepA	NK_140_G1_RepB	NK_140_G1_RepC	NK_140_G2_RepA	NK_140_G2_RepB	NK_140_G2_RepC	NK_34_G1_RepA	NK_34_G1_RepB	NK_34_G1_RepC	NK_34_G2_RepA	NK_34_G2_RepB	NK_34_G2_RepC	NK_640_G1_RepA	NK_640_G1_RepB	NK_640_G1_RepC	NK_640_G2_RepA	NK_640_G2_RepB	NK_640_G2_RepC	ST_0_G1_RepA	ST_0_G1_RepB	ST_0_G1_RepC	ST_0_G2_RepA	ST_0_G2_RepB	ST_0_G2_RepC	ST_300_G1_RepA	ST_300_G1_RepB	ST_300_G1_RepC	ST_300_G2_RepA	ST_300_G2_RepB	ST_300_G2_RepC	ST_610_G1_RepA	ST_610_G1_RepB	ST_610_G1_RepC	ST_610_G2_RepA	ST_610_G2_RepB	ST_610_G2_RepC	ST_68_G1_RepA	ST_68_G1_RepB	ST_68_G1_RepC	ST_68_G2_RepA	ST_68_G2_RepB	ST_68_G2_RepC	ST_900_G1_RepA	ST_900_G1_RepB	ST_900_G1_RepC	ST_900_G2_RepA	ST_900_G2_RepB	ST_900_G2_RepC	Hj_0_RepA	Hj_0_RepB	Hj_243_RepA	Hj_243_RepB	Hj_304_RepA	Hj_304_RepB	Hj_488_RepA	Hj_488_RepB	Hj_50_RepA	Hj_50_RepB	Hj_588_RepA	Hj_588_RepB	Ka_0_RepA	Ka_0_RepB	Ka_179_RepA	Ka_179_RepB	Ka_290_RepA	Ka_290_RepB	Ka_428_RepA	Ka_428_RepB	Ka_504_RepA	Ka_504_RepB	total	blast.hit	blast.id	taxonomy	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
ASV_011210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	94.615	EU880598	Aspidisca magna	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Hypotrichia	Euplotida	Aspidiscidae	Aspidisca	
ASV_011225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	94.615	L26447	Homalozoon vermiculare	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Litostomatea	Haptoria	Haptorida	Homalozoonidae	Homalozoon	
ASV_011376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0	63	63	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	792	93.846	KY922825	Spathidium stammeri	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Litostomatea	Haptoria	Haptorida	Spathidiidae	Spathidium	
ASV_011418	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	342	97.692	JF791016	Strombidium cf. basimorphum	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Oligotrichia	Strombidiidae	Strombidium		
ASV_011473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0	0	0	0	0	17	17	21	75	176	99.231	FJ876970	Chaenea sp. FXP07122006	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Litostomatea	Haptoria	Haptorida	Trachelophyllidae	Chaenea	
ASV_011497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	94	97.692	FJ870093	Spirotrachelostyla tani	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Stichotrichia	Sporadotrichida	Trachelostylidae	Spirotrachelostyla	
ASV_011507	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	22	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	94.697	AY180030	uncultured ciliate	 Eukaryota	Alveolata	Ciliophora	environmental samples						
ASV_011573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	89.313	EF024585	Orchitophryidae environmental sample	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Scuticociliatia	Philasterida	Orchitophryidae	environmental samples	
ASV_011634	0	7	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	83	62	0	132	236	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	38	0	14	0	0	0	0	0	0	760	98.462	FJ423447	Euplotes raikovi	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Hypotrichia	Euplotida	Euplotidae	Euplotes	
ASV_011683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	83	0	0	0	0	0	0	0	0	0	0	0	151	96.923	KT346302	uncultured ciliate	 Eukaryota	Alveolata	Ciliophora	environmental samples						
ASV_011997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	91.538	FJ865206	Acineta tuberosa	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Phyllopharyngea	Suctoria	Endogenida	Acinetidae	Acineta	
ASV_012034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	249	0	0	0	0	0	0	0	0	0	0	721	97.692	FJ870072	Amphisiella milnei	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Stichotrichia	Stichotrichida	Amphisiellidae	Amphisiella	
ASV_012037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	64	86	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	8	58	81	61	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	720	99.231	DQ777746	Lacrymaria marina	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Litostomatea	Haptoria	Haptorida	Lacrymariidae	Lacrymaria	
ASV_012060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	614	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	718	84.615	KC753492	Dysteria crassipes	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Phyllopharyngea	Cyrtophoria	Dysteriida	Dysteriidae	Dysteria	
ASV_012071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	42	124	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	105	44	0	40	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	61	110	0	0	0	0	0	0	0	4	0	0	24	24	717	95.385	KC832952	Orthodonella sp. FXP2007052504	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Nassophorea	Synhymeniida	Orthodonellidae	Orthodonella		
ASV_012090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	715	96.923	LN869961	Paramecium sp. 1 aPFEU3	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Peniculida	Parameciidae	Paramecium		
ASV_012095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	18	0	388	290	0	0	0	0	0	0	0	0	0	0	715	98.462	HM623917	Neourostylopsis flavicana	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Stichotrichia	Urostylida	Holostichidae	Neourostylopsis	
ASV_012137	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	100.000	EF198669	Uronychia setigera	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Hypotrichia	Euplotida	Uronychiidae	Uronychia	
ASV_012148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	105	173	0	0	143	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	710	92.308	FJ875141	Frontonia mengi	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Peniculida	Frontoniidae	Frontonia		
ASV_012187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	98.462	FJ876970	Chaenea sp. FXP07122006	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Litostomatea	Haptoria	Haptorida	Trachelophyllidae	Chaenea	
ASV_012194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	93.077	FJ463745	Trachelotractus entzi	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Litostomatea	Haptoria	Haptorida	Trachelotractus		
ASV_012229	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	31	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	92.366	KM222104	Prorodon ovum	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Prostomatea	Prorodontida	Prorodontidae	Prorodon		
ASV_012239	61	96	110	209	134	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	703	90.769	FJ865207	Paracineta limbata	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Phyllopharyngea	Suctoria	Endogenida	Acinetidae	Paracineta	
ASV_012244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	49	32	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	26	41	36	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	97.692	KJ958488	Anteholosticha monilata	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Stichotrichia	Urostylida	Holostichidae	Anteholosticha	
ASV_012297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	0	0	0	0	34	0	0	0	42	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	698	94.615	KY922825	Spathidium stammeri	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Litostomatea	Haptoria	Haptorida	Spathidiidae	Spathidium	
ASV_012344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502	0	0	0	694	98.462	JF263452	Trachelophyllum sp. VBOEF-2011	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Litostomatea	Haptoria	Haptorida	Trachelophyllidae	Trachelophyllum	
ASV_012352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	24	36	34	86	0	0	0	0	0	0	0	0	0	0	0	0	37	64	34	69	45	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	693	96.923	AY029271	Cryptocaryon irritans	 Eukaryota	Alveolata	Ciliophora	unclassified Ciliophora	Cryptocaryon					
ASV_012395	0	0	0	0	0	0	0	0	16	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	27	19	13	0	0	0	0	0	0	0	8	0	0	0	0	181	94.656	FJ865203	Leptoamphisiella vermis	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Stichotrichia	Pseudoamphisiellida	Leptoamphisiella		
ASV_012482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	683	94.615	KY922825	Spathidium stammeri	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Litostomatea	Haptoria	Haptorida	Spathidiidae	Spathidium	
ASV_012545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	98.462	DQ777746	Lacrymaria marina	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Litostomatea	Haptoria	Haptorida	Lacrymariidae	Lacrymaria	
